ref-finance.sputnik-dao.near,97516969573308740147400647
eddacaa72cb8a97d72ae46df86cda92c4f669237b1338cf66719bf1308c4ce7f,175225661070546779416774
spider.near,140297124851092758939357
belowmargin.near,133297734143709838554830
dd.near,113757579388212800088662
louisliu.near,111439130564627802100065
quanjird.near,103321413917156038442376
3_arrows.near,96749696203297355827130
justin_the_sun.near,92944058731632561772553
156cc7f14b9b2ff643052cba0d830124043440ee8fc94503e0a10227f12b9d70,90759182704508974354060
zhu_su.near,64128719534948482410085
bjeast.near,61090042051775211620991
us.near,57355321399389156109535
scaleweb3.near,54745868034707086889509
ironman.near,44997133476504850362858
8e8fded90b2c0d2f9b52507a7d87e7b68b7f89a9a2a8430e67b67f40d0dd1c7c,39493891494038167986852
g2b3.near,36964481727000886503273
maojindao.near,35944853663025098008324
antonlei.near,34994369625898160191083
d2e5fdff91c016cb5882f97845320157aeff4f513f36e42a9cbce7e6447d61f8,34177900843195374440132
a.near,33139922823309544810018
oswald.near,29779328710689844252885
lele.near,24534556906377877796009
leorey.near,22646947275483286266605
1c8134af624242955b89f436112caa2bf82f29ea2dc01f1dfa4cbd646b448158,22442985850726656491374
brambumbes.near,21349569204772979167006
skyward.near,20569594947789587659566
nekto.near,19673906509766509300127
zeitgeist.near,17099967537514193506946
xiaonan520.near,15710090095508659543962
bryancolligan.near,12288923305355434087129
bilibili.near,12211655687388176371421
jake.near,11608913429078048392109
alex.near,11408608301956339134598
gus.near,11287841974509373464153
defillama.near,11233884293914032288356
koz.near,9793409617636996724129
sunhao.near,9350427948121061742382
zhaoshun.near,9231291640056286121842
selinazhou.near,9093121212165596233920
quynh1994.near,9052266714278326288355
lyxuanthang.near,8292328270975357266060
maksim.near,8187714998013269902675
longbtc.near,8117066891126084600375
awen.near,8021368002879419327376
busdtosky.near,8010495692092348845164
tokenlon.near,8006760087109931546230
icanfixit.near,7955311146525925072884
aaron_ni.near,7730033686497446770256
1390.near,7582803068628303271968
nguyentrang1988.near,7001000000000000000000
mike.near,6679859475593742061082
shambhala.near,6499106250057396802913
fengjiazhen.near,6475881729207384916079
bigfatsteve.near,5764472438433683522337
cryptomalaysia.near,5761394649594647651533
orge.near,5759500895023602710507
erm.near,5360275579897452541750
team.paras.near,5291382467721688270050
jai.near,5151630624608754537182
thiendieu.near,5132133708362511914138
khbw.near,4980126880645809615738
riley.near,4941885060472278620070
winter55.near,4755854731522100404126
washpark.near,4657057112281749385426
tokengazer.near,4653678078427133966424
hrock.near,4631168390893845183041
4773c6b2040c1f8605ec0fa9ea38465496dfe47162e429f8c4670b8850321152,4567215099742462852519
vuongtrung26195.near,4510370698514132798489
nonsense.near,4488597170145331298275
first.near,4404168317258709345582
icofan.near,4177353851228353747894
madao.near,4148551929982806199920
yishine.near,4108658904066893841142
inlumino.near,4087278819019167995196
kokono.near,3945031401263110313457
alenabianko.near,3768610699474392296825
falala.near,3631438282447955267426
tranthehien84.near,3437845309532810975827
giaphongvks.near,3386665012179360117440
namtananh.near,3360474627745913250415
trung123456.near,3263127435415300866940
thanhle_gta_ventures.near,3192180892102446462754
hieukk99.near,3118685177092035796441
rx9.near,3114889938594373437050
cloudycn.near,3078621179725852494032
0c132f86b61908e1ea22619e9eecd31bbf5e059e3bb6a7bf9caef9212e59c6a1,3056904708955194231964
tcx1000btc.near,2999678311881983652847
jameschou.near,2995845714862368229211
uefa36.near,2972346038273921939471
daominhquan200109.near,2921823738136752441597
cosine.near,2912968472951464667003
2c806f0c0b4be5fd535e17ce7bde21c9de766e248e7e0e3ac3fac11b9f0ae7d5,2885743365604677494712
monkey101.near,2853376284410441854473
april77.near,2848815183474417188884
firo.near,2794600294862360617458
riqi.near,2770642780952557711243
roger.near,2693158302087198778965
lehoai61.near,2683986356236785370110
ikorea.near,2560407868594123980837
shihqb.near,2522034198498688267039
kangzhao.near,2496124599176293056524
6a3b825a2c3bf9bd717b841941b8c21c780382b54ddcbf84fba3eb3a8a13b563,2481701531372909238363
sasukekun.near,2479943033681163007628
aliens.near,2468279715537976741685
amit.near,2445236875676716636720
mduttlin.near,2409801802207205956629
blackdimondventure.near,2402542767404976641773
khanhlvspkt.near,2395478579947352301684
xingxing.near,2382346296855187540230
sunrise.near,2346364848197607329590
chinay.near,2343497386889506177396
shawn.near,2284103289183432128384
hpb.near,2246262428541250904264
nguyentrongdan.near,2245832393963782097242
sihan.near,2242054286487592983488
richandqb.near,2238978259228172410651
nearlong1.near,2210828528488851647881
netocrat.near,2190873688033819117930
vitavi357.near,2184600464923480156313
shyhaeky1.near,2141416963128243573476
ashu.near,2132503999763119344914
vinearswap.near,2094027034478857768019
39c80de8be2ee2922f0dc06ed76cd7f9b09d0e414b41819d1ec8066cb640a860,2036203815842076369606
yzh.near,2002763199973200591578
le7inh.near,1976767275492615520437
aseriousplan.near,1928039139015007137746
taeyang1299.near,1890651535303639546849
locduc1990.near,1865827780707097923590
whsong921.near,1834118603004357781394
juhree.near,1790950270887987188012
martin_burgherr.near,1758289017971929925113
minhcc.near,1692541855331145251400
jantar.near,1650638473055803567643
joep.near,1644062562863525331550
tunghim.near,1630997105565709078304
cryptoroshi.near,1597426094188073862744
soft3579.near,1515100132756522120164
minhtai.near,1499126821313598684678
zclldh.near,1480333599185555145202
lmh9524.near,1458966435451115464627
ironbear.near,1442425553694688553995
yedemao.near,1422890345808073290813
incrediblez7.near,1391526630826095905222
trandoan1.near,1383658738106704178797
hopy.near,1380526453357919169228
santafe2021.near,1369169489831729806849
rhunestel.near,1363112640482596475596
jansamo.near,1353380055846849891449
pmensik.near,1346579151043599389482
lds83.near,1321793370060415243221
radoslav.near,1291873072835026089424
saturdayvx.near,1279966945090951880398
katienguyen757.near,1276295911582292689043
zzw.near,1254294113395764289065
dayu.near,1236516606773290441996
mingzhe.near,1224419622855207358102
quyvo.near,1222281513043593727161
wolfer.near,1179144924462227301141
vietdo.near,1157751302905402442934
kimmi.near,1142819648889401972362
denispro2015.near,1142759432302547504204
crypto4cats.near,1136932107406421670832
phamngocminh.near,1136644921703002334397
ducoin.near,1133532267429085498540
simamuska.near,1130022023608433716618
chaplin.near,1122149292536332824569
xpelix.near,1122149292536332824569
cryptoll.near,1120699055792992541002
7ed6f56aa343df7891b4dc66ca86e5bce5ce3648555bae2d11a42997db99ce3f,1119610569073054450252
interplanetary.near,1115460165221688957295
meckom.near,1111107146065148219358
marcelo.near,1100135995043107671630
phong8888.near,1095079586340919717657
darkbluechain.near,1069319033181936984141
thitienluc.near,1066018739014335221500
noncesapiens.near,1065322224818331098833
alibaba12.near,1064495763786913557169
dillsp88.near,1059475396940682627982
dawns.near,1050649425626569857971
rasfies.near,1033925580747877765809
vuxhai92.near,1032377349133426198602
ericyfhung.near,1032133215803390961157
hechaoren.near,1029257680733944757604
dinzz.near,1027207612920684946810
madex.near,1025130775276982445490
zhy.near,1023942645995279091179
cryptoeminem.near,1023074495463235830015
585.near,1017695885875598219693
mggcapital.near,1008697945136545608052
buituananh.near,1000234134401919507161
hungaus811.near,1000165174653339757826
steven90.near,1000000000000000000000
trld.near,1000000000000000000000
phohaidang.near,994108207878456040982
andrewxx.near,992644290356328141763
flashgordon.near,978994175335569438540
temtem124.near,978339441817955950463
tranquyenlinh86.near,972517737617501162344
spacex2050.near,971154886821127970750
kaizen9523.near,967935900110463853093
docker.near,961599739970789477585
tuong251082.near,958644206224852006443
till34.near,954218090617044787372
trinhphuong.near,950081037954877059491
trigisek.near,949751497030530949714
achilleus.near,947686812301407303349
decentricity.near,941450317409575651358
chenwei.near,934635931148715383368
thinh62.near,933868005023126491622
mmookk.near,932902730403330005536
bro.near,924197159731845819340
endemoniado.near,921582312570836403816
tranhai.near,915530065795820982978
trungle74.near,905549099315446181299
septen.near,904587776760935623388
libby08.near,897726150981911389813
sonny117.near,897719434029066259655
f0bce215798e5a94ec7700f3f5577ad5320c6ad488317d6fcd675d9b44ef92a0,893778010438626988324
mayvanui.near,889977793576693900551
haothanh98.near,881986738578395911664
phamtruongminh.near,875201760338060766358
rejinderi.near,873452769313291764022
n0isybit.near,872084207674456696317
godlike.near,871917495266992675297
asdasdsadads.near,860964457604546382262
freeairdrop.near,857771755451389941985
adam281910785.near,849240999414317847688
topisgood.near,849216126223957398051
johnycash.near,830758964116858953547
fxevo.near,823423060655027108905
123asd.near,822284841647823802788
giangphap1991.near,808637789621986325425
joehuynh.near,804288145911944195199
guaiguai.near,800000000000000000000
oleg.near,796998198063105676397
incs1706.near,764567515204911993048
uyensophie.near,763061518924706320707
mastershifu.near,762275665648702267111
vantoanbk57.near,735136080389040834446
musicman.near,720638793306569305103
pengkai.near,696184191075527917362
branoa.near,695732561372526351233
thaituan114.near,693349249707636998580
jjin.near,692826966573508788930
unisquishy.near,692463520752106818483
nemrod1199.near,689810746261271592347
mrwifi2015.near,687444496178619022712
hmtri1011.near,686755367032235688636
mezoantropo.near,684786660466536535957
jaken.near,684682240437458658190
vlad.near,683768898787991816867
dotti.near,683517904976726726436
saosaoliu.near,678610950987384041827
geometrist.near,675614930506847857691
quangpham91.near,673939757957229492363
hamb123.near,673481709236685766820
standinwind.near,673435707846819398272
cauhaodz.near,673047303467485088826
eaglenguyen007.near,673003446254942380437
sbf.near,659793166211427105895
hoangngocquang.near,656575607515262364146
ngoccuong92.near,656386356319745758652
q0_0p.near,654685932691848759783
photosynthesis.near,650000000000000000000
nhan2307.near,648856462794192377805
nguyennear.near,646782455767233889259
guaishou.near,645746274252872777579
trld1311.near,642472494796398920995
hantinus.near,632484146702296682938
uxisnear.near,630173572953685420080
simeon4real.near,627255970426680289559
kosta777.near,623390804164004052486
dangthu_257.near,620591773543088773598
rimsy_rimmer.near,620288867294135360095
tranglinny.near,615720664536733310468
chunyu0118.near,614982158055471036455
chuoi200818.near,613532291983905284123
vominhha.near,612102657853160168039
